order_id,customer_name,product,quantity,unit_price,order_date,region,total_price
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0
